# b6090c78-2c38-489a-9705-9f7a69b9fcd5,,
# 603fd3987364b09f9aacb70d1ed12c268e24dd56,,
# s_m,x_m,y_m
7.7985482,3.271279785385293,-8.401187122450652
7.9985110,3.332028724180692,-8.623462963355975
8.1984738,3.392658650085321,-8.845713361357666
8.3984366,3.4531817461424796,-9.067935041263079
8.5983993,3.513610343795518,-9.290124479349661
8.7983621,3.5739586631739533,-9.512277719711761
8.9983249,3.634237455256083,-9.734391922497592
9.1982877,3.6944602265203548,-9.956463458182299
9.3982504,3.754638791974769,-10.178489074910846
9.5982132,3.8147852759102894,-10.400465342924885
9.7981760,3.8749122903755606,-10.62238877353831
9.9981388,3.935032979939734,-10.844255969008872
10.1981015,3.995159152963231,-11.06606415568448
10.3980643,4.055303547877456,-11.28781012940472
10.5980271,4.115477260400895,-11.509488469588124
10.7979899,4.175692117590316,-11.731099480545296
10.9979526,4.235972551588693,-11.952666398945267
11.1979154,4.296324287492898,-12.174219629136461
11.3978782,4.356748074777191,-12.395771530702076
11.5978410,4.417238495594922,-12.61732756492737
11.7978037,4.477789645167134,-12.83888788875905
11.9977665,4.5383983815522395,-13.060452723480658
12.1977293,4.599060433090414,-13.282023541122161
12.3976921,4.65977139946325,-13.503601664539163
12.5976548,4.720526861245728,-13.725188312648644
12.7976176,4.781322386865248,-13.946784662520733
12.9975804,4.842153528083737,-14.168391805913902
13.1975432,4.9030158921159765,-14.390010818880715
13.3975059,4.963905192779139,-14.611643133324913
13.5974687,5.024817042547351,-14.833290209103355
13.7974315,5.085746890756194,-15.054952902653271
13.9973943,5.146690255372761,-15.276632215264732
14.1973570,5.207643059471838,-15.498329655486192
14.3973198,5.268600613576178,-15.720046602599004
14.5972826,5.329558629758017,-15.941784001761716
14.7972454,5.390512679051941,-16.16354328523952
14.9972081,5.451458245645961,-16.385325750064546
15.1971709,5.512390647117672,-16.60713170777532
15.3971337,5.573305514646002,-16.828963396016814
15.5970965,5.634199934534259,-17.050826734836892
15.7970592,5.695072016106079,-17.272736782980182
15.9970220,5.755914591841555,-17.49471322283236
16.1969848,5.816715167355808,-17.716764742631423
16.3969476,5.877459624270604,-17.93889315264365
16.5969103,5.9381340414589765,-18.161100709604554
16.7968731,5.9987261521057045,-18.38339349895518
16.9968359,6.059223708178197,-18.605780262724323
17.1967987,6.1196073362200325,-18.828249452591457
17.3967614,6.1798672872773714,-19.050793216151725
17.5967242,6.240014254335266,-19.273493490799748
17.7966870,6.299989285293455,-19.49630522527379
17.9966498,6.359691298853013,-19.718790023348998
18.1966126,6.419054283131477,-19.940226202873564
18.3965753,6.478196736743514,-20.15980722232397
18.5965381,6.537581977573431,-20.37711569009291
18.7965009,6.5976679664294275,-20.592127904111482
18.9964637,6.658842341815737,-20.804729427800435
19.1964264,6.721492352933256,-21.01475018169713
19.3963892,6.785999846449228,-21.222042073747996
19.5963520,6.852729085052661,-21.42645252076512
19.7963148,6.922050128229696,-21.627805894460163
19.9962775,6.994309022842134,-21.82591383434114
20.1962403,7.0694671849342745,-22.01988468130966
20.3962031,7.146613188201189,-22.206409094380184
20.5961659,7.225664681300673,-22.38181527194086
20.7961286,7.307629450678734,-22.544778206458382
